>Eukarya (Plant Species)
Abrus precatorius	Abrus_precatorius_trna.fa
Staphylococcus aureus N315	Stap_aure_N315-tRNAs.fa
Staphylococcus aureus aureus MRSA252	Stap_aure_aureus_MRSA252-tRNAs.fa
Staphylococcus aureus aureus MSSA476	Stap_aure_aureus_MSSA476-tRNAs.fa
Staphylococcus epidermidis ATCC 12228	Stap_epid_ATCC_12228-tRNAs.fa
Staphylococcus epidermidis RP62A	Stap_epid_RP62A-tRNAs.fa
Staphylococcus haemolyticus	Stap_haem-tRNAs.fa
Streptococcus agalactiae 2603	Stre_agal_2603-tRNAs.fa
Streptococcus agalactiae NEM316	Stre_agal_NEM316-tRNAs.fa
Streptomyces avermitilis	Stre_aver-tRNAs.fa
Streptomyces coelicolor	Stre_coel-tRNAs.fa
Streptococcus mutans	Stre_muta-tRNAs.fa
Streptococcus pneumoniae R6	Stre_pneu_R6-tRNAs.fa
Streptococcus pneumoniae TIGR4	Stre_pneu_TIGR4-tRNAs.fa
Streptococcus pyogenes	Stre_pyog-tRNAs.fa
Streptococcus pyogenes M1 GAS	Stre_pyog_M1_GAS-tRNAs.fa
Streptococcus pyogenes M49 591	Stre_pyog_M49_591-tRNAs.fa
Streptococcus pyogenes MGAS10394	Stre_pyog_MGAS10394-tRNAs.fa
Streptococcus pyogenes MGAS315	Stre_pyog_MGAS315-tRNAs.fa
Streptococcus pyogenes MGAS8232	Stre_pyog_MGAS8232-tRNAs.fa
Streptococcus pyogenes SSI-1	Stre_pyog_SSI-1-tRNAs.fa
Streptococcus thermophilus CNRZ1066	Stre_ther_CNRZ1066-tRNAs.fa
Streptococcus thermophilus LMG 18311	Stre_ther_LMG_18311-tRNAs.fa
Symbiobacterium thermophilum IAM14863	Symb_ther_IAM14863-tRNAs.fa
Synechocystis PCC6803	Syne_PCC6-tRNAs.fa
Synechococcus elongatus PCC 6301	Syne_elon_PCC_6301-tRNAs.fa
Synechococcus sp WH8102	Syne_sp_WH8102-tRNAs.fa
Thermosynechococcus elongatus	Ther_elon-tRNAs.fa
Thermotoga maritima	Ther_mari-tRNAs.fa
Thermoanaerobacter tengcongensis	Ther_teng-tRNAs.fa
Thermus thermophilus HB27	Ther_ther_HB27-tRNAs.fa
Thermus thermophilus HB8	Ther_ther_HB8-tRNAs.fa
Treponema denticola ATCC 35405	Trep_dent_ATCC_35405-tRNAs.fa
Treponema pallidum	Trep_pall-tRNAs.fa
Tropheryma whipplei TW08 27	Trop_whip_TW08_27-tRNAs.fa
Tropheryma whipplei Twist	Trop_whip_Twist-tRNAs.fa
Ureaplasma urealyticum	Urea_urea-tRNAs.fa
Vibrio cholerae	Vibr_chol-tRNAs.fa
Vibrio fischeri ES114	Vibr_fisc_ES114-tRNAs.fa
Vibrio parahaemolyticus	Vibr_para-tRNAs.fa
Vibrio vulnificus CMCP6	Vibr_vuln_CMCP6-tRNAs.fa
Vibrio vulnificus YJ016	Vibr_vuln_YJ016-tRNAs.fa
Wigglesworthia brevipalpis	Wigg_brev-tRNAs.fa
Wolbachia endosymbiont of Brugia malayi TRS	Wolb_endo_of_Brugia_malayi_TRS-tRNAs.fa
Wolbachia endosymbiont of Drosophila melanogaster	Wolb_endo_of_Drosophila_melanogaster-tRNAs.fa
Wolinella succinogenes	Woli_succ-tRNAs.fa
Xanthomonas campestris	Xant_camp-tRNAs.fa
Xanthomonas campestris 8004	Xant_camp_8004-tRNAs.fa
Xanthomonas citri	Xant_citr-tRNAs.fa
Xanthomonas oryzae KACC10331	Xant_oryz_KACC10331-tRNAs.fa
Xylella fastidiosa	Xyle_fast-tRNAs.fa
Xylella fastidiosa Temecula1	Xyle_fast_Temecula1-tRNAs.fa
Yersinia pestis CO92	Yers_pest_CO92-tRNAs.fa
Yersinia pestis KIM	Yers_pest_KIM-tRNAs.fa
Yersinia pestis biovar Mediaevails	Yers_pest_biovar_Mediaevails-tRNAs.fa
Yersinia pseudotuberculosis IP32953	Yers_pseu_IP32953-tRNAs.fa
Zymomonas mobilis ZM4	Zymo_mobi_ZM4-tRNAs.fa
